UserID,MovieID,Tag,Date
15,4973,excellent!,2008-07-04 15:17:10
20,1747,politics,2007-08-28 01:17:47
20,1747,satire,2007-08-28 01:17:47
20,2424,chick flick 212,2007-08-28 01:17:15
20,2424,hanks,2007-08-28 01:17:15
20,2424,ryan,2007-08-28 01:17:15
20,2947,action,2007-08-28 01:15:55
20,2947,bond,2007-08-28 01:15:56
20,3033,spoof,2007-08-28 01:18:00
20,3033,star wars,2007-08-28 01:18:00
20,7438,bloody,2007-08-28 01:16:41
20,7438,kung fu,2007-08-28 01:16:41
20,7438,Tarantino,2007-08-28 01:16:41
21,55247,R,2008-03-09 16:51:46
21,55253,NC-17,2008-03-09 16:51:28
25,50,Kevin Spacey,2006-12-14 13:03:46
25,6709,Johnny Depp,2006-10-29 18:40:21
31,65,buddy comedy,2007-08-28 01:15:59
31,546,strangely compelling,2007-08-28 01:14:34
31,1091,catastrophe,2007-08-28 01:15:41
31,2116,Epic,2007-08-28 01:15:07
31,6373,comedy of manners,2007-08-28 01:14:04
32,49272,product placement,2006-11-28 17:35:31
39,277,classic,2007-08-28 01:16:31
39,724,goth,2007-08-28 01:17:23
39,1249,woman,2007-08-28 01:16:04
39,1267,classic,2007-08-28 01:16:22
39,2105,computer,2007-08-28 01:17:00
48,54290,Why the terrorists hate us,2008-07-04 01:40:11
48,54775,The Director Should be given a grammy,2008-07-04 01:38:37
49,198,Ralph Fiennes,2007-08-28 01:24:15
49,261,Winona Ryder,2007-08-28 01:22:58
49,1597,Julia Roberts,2007-08-28 01:21:35
49,1597,Mel Gibson,2007-08-28 01:21:35
49,1729,Quinten Tarantino,2007-08-28 01:22:32
49,1747,Robert De Niro,2007-08-28 01:24:16
49,2023,Al Pacino,2007-08-28 01:21:50
49,2424,Meg Ryan,2007-08-28 01:24:33
49,2424,Tom Hanks,2007-08-28 01:24:33
49,2947,Bond James Bond,2007-08-28 01:22:04
49,3033,comedy,2007-08-28 01:23:48
49,3033,John Candy,2007-08-28 01:23:46
49,3033,Rick Moranis,2007-08-28 01:23:48
49,7438,Quinten Tarantino,2007-08-28 01:22:46
49,7438,Uma Thurman,2007-08-28 01:22:47
75,353,tissit,2006-10-29 22:20:15
78,4223,want to own,2007-04-16 02:43:45
109,36,death penalty,2008-05-22 05:13:55
109,904,Hitchcock,2006-12-08 05:21:21
109,1219,Alfred Hitchcock,2006-12-08 05:21:28
109,1258,based on a book,2009-01-05 02:24:48
109,1258,Stephen King,2006-12-08 05:20:23
109,2011,time travel,2007-07-11 15:16:28
109,2012,time travel,2007-07-11 15:16:21
109,2028,World War II,2006-12-08 05:20:48
109,2117,George Orwell,2006-12-08 05:14:33
109,2762,twist ending,2006-12-08 05:20:08
109,3087,christmas,2006-12-08 05:20:40
109,3400,dinosaur,2008-06-08 04:56:21
109,3527,Arnold Schwarzenegger,2006-12-08 05:21:31
109,6731,zombies,2008-05-24 01:33:38
109,7360,zombies,2008-05-24 01:33:32
109,7387,zombies,2008-05-24 01:33:43
109,8874,zombies,2006-12-08 05:20:26
109,8910,existentialism,2006-12-08 05:12:44
109,27317,Takashi Miike,2008-03-27 14:16:18
109,32587,comic book,2006-12-08 05:20:18
109,33834,zombies,2008-05-24 01:33:23
109,45081,unintentionally funny,2007-05-30 01:19:49
109,45081,video game,2007-05-30 01:19:56
109,52462,Based on a TV show,2007-07-11 15:05:48
109,54116,Fate,2008-03-05 22:02:30
127,1343,horror,2007-08-28 01:42:27
127,1343,killer,2007-08-28 01:42:27
127,1343,stalker,2007-08-28 01:42:27
127,2080,children,2007-08-28 01:42:47
127,2080,dogs,2007-08-28 01:42:47
127,2080,romantic,2007-08-28 01:42:47
127,2953,alone,2007-08-28 01:45:44
127,2953,robbers,2007-08-28 01:45:44
127,4270,egypt,2007-08-28 01:45:09
127,4270,mummy,2007-08-28 01:45:09
127,4447,blonde,2007-08-28 01:44:23
127,4447,dog,2007-08-28 01:44:23
127,4447,funny,2007-08-28 01:44:23
127,5679,horror,2007-08-28 01:44:07
127,5679,scary,2007-08-28 01:44:07
127,6934,hacker,2007-08-28 01:43:57
127,6934,matrix,2007-08-28 01:43:57
127,6934,neo,2007-08-28 01:43:57
127,7147,death,2007-08-28 01:43:28
127,7147,dream,2007-08-28 01:43:28
127,7147,fantasy,2007-08-28 01:43:28
127,7147,life,2007-08-28 01:43:28
127,7147,stories,2007-08-28 01:43:28
127,8622,bush,2007-08-28 01:44:57
127,8622,comedy,2007-08-28 01:44:57
127,8622,government,2007-08-28 01:44:57
133,1717,horror,2007-08-28 01:43:16
133,4270,action,2007-08-28 01:42:55
133,4270,adventure,2007-08-28 01:42:55
133,8622,documentary,2007-08-28 01:42:56
133,8622,USA,2007-08-28 01:42:56
146,7,based on a play,2008-11-15 09:52:44
146,10,franchise,2007-12-01 14:04:11
146,16,based on a book,2008-06-14 06:21:26
146,16,imdb top 250,2008-06-14 06:20:34
146,26,based on a play,2008-03-29 09:20:29
146,28,based on a book,2008-05-15 10:03:21
146,32,biology,2008-04-19 02:17:27
146,32,genetics,2007-11-22 10:50:32
146,36,based on a book,2007-12-28 06:34:44
146,41,based on a play,2008-03-29 09:25:10
146,44,martial arts,2007-11-20 11:13:30
146,47,imdb top 250,2007-11-15 20:11:23
146,50,ensemble cast,2007-12-15 13:19:12
146,62,high school,2008-03-03 18:47:53
146,66,imdb bottom 100,2007-11-21 03:55:57
146,81,Colorado,2008-09-08 13:17:13
146,97,imdb top 250,2008-09-20 08:12:27
146,98,directorial debut,2008-04-02 10:58:24
146,101,directorial debut,2008-04-02 09:26:02
146,101,texas,2008-03-01 04:17:26
146,105,based on a book,2006-10-31 02:47:39
146,107,based on a book,2008-04-01 09:59:22
146,107,franchise,2007-12-02 00:10:16
146,107,talking animals,2007-12-16 06:54:38
146,116,Oscar (Best Documentary Feature),2008-03-12 05:36:39
146,145,directorial debut,2008-04-02 10:45:54
146,150,based on a book,2008-09-19 23:46:50
146,160,based on a book,2006-10-31 03:16:56
146,165,terrorism,2007-11-25 05:41:03
146,175,directorial debut,2008-04-02 10:21:22
146,193,cult film,2008-03-03 18:40:43
146,193,strippers,2007-11-20 11:00:28
146,208,big budget,2007-12-01 13:28:03
146,220,H.P. Lovecraft,2007-12-15 12:12:27
146,225,based on a book,2008-05-11 01:16:21
146,235,black and white,2008-02-28 12:58:56
146,240,based on a book,2008-10-11 05:00:40
146,240,Dean Koontz,2008-10-11 05:00:40
146,253,based on a book,2006-10-31 02:41:42
146,260,desert,2007-12-24 00:38:21
146,260,quotable,2007-11-28 11:17:19
146,261,based on a book,2007-12-28 07:37:35
146,273,based on a book,2007-10-24 23:01:52
146,288,brutal,2007-11-23 02:39:00
146,288,satire,2006-10-12 11:31:59
146,288,serial killer,2006-05-27 11:10:44
146,292,biology,2008-04-19 02:13:30
146,296,quotable,2007-11-23 02:28:01
146,298,directorial debut,2008-04-02 10:51:18
146,316,Egypt,2008-03-29 07:57:38
146,318,based on a short story,2008-04-30 08:08:22
146,318,directorial debut,2008-04-03 02:23:15
146,319,directorial debut,2008-04-03 02:05:48
146,325,National Lampoon,2007-11-26 09:42:42
146,327,desert,2007-12-24 00:37:01
146,329,far future,2007-12-24 01:18:18
146,329,space,2007-10-17 11:26:21
146,338,virtual reality,2007-11-20 10:28:10
146,344,directorial debut,2008-04-08 14:30:21
146,349,based on a book,2008-05-10 03:04:59
146,349,CIA,2008-09-21 08:10:00
146,350,based on a book,2006-10-31 03:12:07
146,351,directorial debut,2008-04-03 05:22:17
146,351,jazz,2007-10-07 09:54:37
146,353,rock and roll,2007-11-23 01:32:20
146,364,talking animals,2007-12-16 06:59:07
146,370,police,2008-04-21 06:42:07
146,434,colorado,2008-05-29 03:58:20
146,434,mountains,2008-03-27 22:11:08
146,445,parody,2008-04-21 07:00:15
146,454,based on a book,2006-10-31 03:12:22
146,456,directorial debut,2008-04-03 05:03:19
146,456,drugs,2008-03-02 04:05:02
146,456,ghetto,2008-05-04 10:07:44
146,470,imdb bottom 100,2007-11-21 04:16:16
146,475,based on a book,2008-09-23 05:11:36
146,475,true story,2008-09-23 05:11:54
146,480,based on a book,2006-10-31 02:39:35
146,480,biology,2008-04-19 02:17:13
146,480,Michael Crichton,2007-09-02 23:56:07
146,480,scenic,2007-11-22 10:48:55
146,480,science,2008-04-14 20:05:48
146,481,serial killer,2008-05-08 08:46:13
146,485,parody,2006-10-12 11:33:20
146,491,directorial debut,2008-04-03 05:26:48
146,497,based on a play,2008-03-29 09:23:07
146,512,based on a book,2006-12-24 14:09:47
146,512,Robert Heinlein,2006-12-24 14:09:36
146,520,parody,2007-12-03 08:11:19
146,524,biography,2007-11-22 11:35:54
146,524,college,2007-12-15 10:55:23
146,524,inspirational,2007-11-21 03:03:15
146,524,true story,2007-08-10 03:06:25
146,534,based on a play,2008-05-23 04:30:10
146,534,biography,2008-07-08 08:42:47
146,541,based on a book,2006-10-31 02:24:07
146,541,Philip K. Dick,2007-09-02 23:37:00
146,551,claymation,2007-06-28 04:03:00
146,553,Arizona,2008-08-26 03:41:21
146,565,directorial debut,2008-04-03 02:52:21
146,568,directorial debut,2008-04-03 05:47:44
146,574,directorial debut,2008-04-02 10:20:52
146,574,incest,2007-11-01 23:33:25
146,592,Batman,2008-06-23 22:21:50
146,593,based on a book,2007-12-16 11:25:19
146,602,jazz,2007-11-25 12:52:33
146,602,music,2007-11-26 08:04:05
146,619,imdb bottom 100,2007-11-21 03:58:26
146,628,based on a book,2008-10-04 04:44:35
146,661,claymation,2007-06-28 04:05:19
146,709,based on a book,2008-04-08 16:08:53
146,709,Charles Dickens,2008-04-08 16:08:53
146,759,Oscar (Best Documentary Feature),2008-03-12 05:35:49
146,762,strippers,2007-11-21 02:46:41
146,764,directorial debut,2008-04-03 09:33:34
146,801,directorial debut,2008-04-03 08:43:46
146,805,based on a book,2008-12-15 19:39:12
146,808,Alaska,2007-11-26 08:46:49
146,810,imdb bottom 100,2007-11-21 03:59:05
146,837,elementary school,2007-11-23 01:46:21
146,880,based on a book,2007-12-02 02:21:15
146,880,H.G. Wells,2007-12-02 02:21:04
146,892,based on a play,2008-03-29 09:30:54
146,897,based on a book,2008-04-08 14:40:04
146,897,Ernest Hemingway,2008-04-08 14:40:04
146,899,black and white,2008-02-28 12:42:31
146,909,black and white,2008-02-28 12:19:00
146,912,black and white,2008-02-28 12:07:38
146,915,based on a play,2008-11-15 09:54:13
146,915,black and white,2008-11-15 09:53:56
146,919,based on a book,2006-10-31 02:34:10
146,919,black and white,2008-02-28 12:32:42
146,920,based on a book,2008-03-23 05:02:33
146,920,black and white,2008-02-28 12:13:42
146,923,black and white,2008-02-28 12:35:19
146,924,Arthur C. Clarke,2008-09-08 13:20:14
146,924,artificial intelligence,2007-11-20 11:59:52
146,924,based on a book,2006-10-31 02:57:50
146,949,based on a book,2007-12-15 08:51:40
146,949,John Steinbeck,2007-12-15 08:51:40
146,968,black and white,2008-02-28 12:49:31
146,971,based on a play,2008-02-27 12:56:48
146,976,based on a book,2008-04-08 14:32:08
146,976,Ernest Hemingway,2008-04-08 14:32:08
146,993,physics,2007-12-02 01:12:53
146,993,science,2007-12-02 01:12:53
146,993,true story,2007-08-10 03:03:36
146,1014,directorial debut,2008-04-03 03:37:01
146,1017,based on a book,2008-04-01 10:01:42
146,1017,island,2008-04-01 10:01:17
146,1017,shipwreck,2007-12-01 13:08:08
146,1028,magic,2008-03-23 05:54:34
146,1031,magic,2008-08-19 13:07:18
146,1032,based on a book,2006-10-31 02:37:34
146,1032,whimsical,2007-11-22 12:57:52
146,1035,Austria,2007-12-15 10:46:57
146,1035,scenic,2007-11-22 10:35:51
146,1036,terrorism,2007-11-25 05:41:48
146,1037,virtual reality,2007-11-20 10:23:10
146,1049,lions,2007-12-02 02:43:48
146,1059,based on a play,2008-03-29 09:19:24
146,1073,based on a book,2006-10-31 02:29:50
146,1073,roald dahl,2007-11-22 11:14:51
146,1085,based on a book,2008-04-08 14:46:53
146,1085,Ernest Hemingway,2008-04-08 14:46:53
146,1089,directorial debut,2008-04-02 10:04:28
146,1089,ensemble cast,2007-12-15 13:12:51
146,1093,rock and roll,2008-04-05 07:23:21
146,1096,based on a book,2008-09-01 11:58:36
146,1099,Charles Dickens,2008-04-08 14:57:00
146,1104,based on a play,2008-02-27 12:56:04
146,1104,New Orleans,2007-11-22 12:14:59
146,1111,nature,2007-11-26 08:26:01
146,1127,aliens,2007-12-15 11:30:54
146,1127,ocean,2007-12-15 11:30:37
146,1127,submarine,2008-02-20 22:43:37
146,1136,directorial debut,2008-04-02 09:25:24
146,1136,holy grail,2007-12-01 14:12:33
146,1136,quotable,2007-11-28 11:13:12
146,1147,Oscar (Best Documentary Feature),2008-03-12 05:37:23
146,1169,Oscar (Best Documentary Feature),2008-03-12 05:21:08
146,1175,directorial debut,2008-04-03 05:39:10
146,1178,based on a book,2008-08-03 13:39:10
146,1178,black and white,2008-02-28 12:38:52
146,1185,directorial debut,2008-04-03 03:34:39
146,1189,racism,2007-12-02 00:24:59
146,1193,based on a book,2008-03-12 06:31:03
146,1198,Egypt,2008-03-29 08:00:19
146,1199,satire,2006-10-12 11:44:43
146,1206,based on a book,2006-10-31 02:23:52
146,1206,brutal,2007-11-23 02:50:48
146,1206,rape,2007-11-20 12:06:33
146,1206,satire,2006-10-12 11:57:49
146,1208,based on a book,2006-10-31 02:43:38
146,1210,desert,2007-12-24 00:39:13
146,1213,based on a book,2008-03-12 03:45:18
146,1219,black and white,2008-02-28 12:50:00
146,1219,serial killer,2006-05-27 11:07:23
146,1220,Chicago,2007-10-09 00:23:53
146,1220,music business,2007-11-23 02:05:19
146,1224,based on a play,2008-03-29 09:21:35
146,1224,directorial debut,2008-04-03 05:04:00
146,1225,based on a play,2008-05-31 12:48:27
146,1225,biography,2008-05-31 12:48:27
146,1233,ocean,2008-12-15 02:48:08
146,1237,black and white,2008-02-28 12:40:23
146,1243,based on a play,2008-03-29 09:25:50
146,1250,based on a book,2008-12-15 02:49:44
146,1253,black and white,2008-02-28 12:38:22
146,1256,black and white,2008-02-28 12:32:15
146,1257,directorial debut,2008-04-03 08:33:12
146,1259,based on a book,2007-12-16 06:15:57
146,1265,small town,2008-04-07 11:11:32
146,1267,based on a book,2008-08-09 03:32:42
146,1267,remade,2008-08-09 03:32:42
146,1268,high school,2007-12-17 11:33:32
146,1268,rock and roll,2007-12-24 01:09:05
146,1270,high school,2007-11-28 11:31:39
146,1278,parody,2007-12-03 08:24:18
146,1281,black and white,2008-05-11 02:38:12
146,1284,based on a book,2008-04-17 03:59:15
146,1288,directorial debut,2008-04-03 02:39:58
146,1288,music business,2007-11-23 02:11:42
146,1293,biography,2007-11-22 13:38:35
146,1295,based on a book,2008-05-30 23:11:39
146,1298,rock and roll,2007-11-23 01:14:05
146,1299,directorial debut,2008-04-03 09:17:34
146,1301,far future,2007-12-24 01:28:36
146,1307,jazz,2007-12-05 03:13:30
